# class NDVI NDCI IRECI MTCI OTCI MCARI CI_RedEdge CI_GreenEdge TCARI OSAVI TCARI_OSAVI
2.000000 0.292702 0.106215 0.201390 1.602967 3.205934 0.032976 0.442861 1.198143 0.098929 0.252407 0.392074
4.000000 0.359004 0.129379 0.264991 1.873318 3.746636 0.038692 0.600818 1.502393 0.116075 0.311315 0.372994
4.000000 0.670429 0.303884 0.717502 2.695695 5.391390 0.061516 1.703604 3.381367 0.184548 0.575265 0.320665
4.000000 0.601694 0.263484 0.599656 2.525600 5.051201 0.055220 1.451552 2.971532 0.165660 0.514281 0.321659
3.000000 0.622250 0.273598 0.636458 2.673236 5.346473 0.056923 1.524073 3.095467 0.170770 0.532956 0.314405
3.000000 0.526239 0.261107 0.365970 1.437798 2.875596 0.068716 0.800689 2.098568 0.206147 0.434211 0.472270
4.000000 0.441005 0.181717 0.271703 1.674185 3.348369 0.043438 0.718073 1.916927 0.130313 0.355177 0.364612
2.000000 0.703240 0.317749 0.711839 2.792752 5.585504 0.056820 1.877069 3.815165 0.170461 0.588627 0.290472
2.000000 0.344209 0.121154 0.254913 1.904159 3.808318 0.036943 0.575191 1.401739 0.110830 0.299322 0.370437
2.000000 0.302927 0.127894 0.184143 1.182499 2.364999 0.039104 0.391566 1.254116 0.117312 0.250412 0.470193
4.000000 0.254831 0.102309 0.164260 1.205795 2.411591 0.033014 0.324362 1.102809 0.099043 0.214763 0.464348
3.000000 0.722191 0.326117 0.797193 2.990126 5.980252 0.056472 2.075193 4.125406 0.169415 0.608917 0.279618
3.000000 0.555334 0.235312 0.553401 2.434961 4.869921 0.053690 1.295363 2.752590 0.161069 0.478863 0.344892
2.000000 0.407548 0.142885 0.321615 2.122471 4.244943 0.041694 0.744605 1.658951 0.125082 0.350654 0.361063
3.000000 0.262938 0.113515 0.175360 1.173394 2.346788 0.038726 0.331474 1.082626 0.116179 0.226825 0.512879
3.000000 0.510251 0.206543 0.429426 2.118699 4.237398 0.056850 0.940417 2.090963 0.170551 0.434316 0.392437
2.000000 0.536592 0.221094 0.466998 2.234059 4.468119 0.057911 1.041234 2.244333 0.173734 0.458691 0.378766
4.000000 0.291925 0.120798 0.169195 1.185510 2.371020 0.035249 0.373912 1.254675 0.105748 0.238959 0.442975
4.000000 0.677318 0.297329 0.659231 2.700074 5.400148 0.054812 1.738543 3.587830 0.164436 0.564329 0.292468
4.000000 0.705597 0.310096 0.740248 2.931544 5.863089 0.055520 1.935400 3.865750 0.166561 0.593614 0.280623
4.000000 0.676948 0.283527 0.671273 2.906900 5.813800 0.052234 1.793382 3.601574 0.156703 0.566961 0.276190
4.000000 0.695862 0.303782 0.688441 2.842738 5.685476 0.054117 1.851497 3.726649 0.162351 0.579571 0.280127
4.000000 0.689338 0.296124 0.698776 2.880979 5.761959 0.054182 1.844322 3.692393 0.162546 0.578511 0.281041
2.000000 0.707243 0.311286 0.738325 2.925938 5.851875 0.055462 1.939154 3.865529 0.166385 0.593985 0.280104
3.000000 0.381124 0.163540 0.241322 1.386387 2.772774 0.047744 0.530687 1.592370 0.143231 0.313997 0.454145
1.000000 0.481365 0.171740 0.299551 2.325901 4.651802 0.034517 0.958637 2.199540 0.103552 0.380660 0.274312
2.000000 0.197035 0.070372 0.125766 1.451130 2.902260 0.019867 0.245000 0.947906 0.059602 0.163412 0.348040
1.000000 0.200081 0.081565 0.131712 1.050932 2.101863 0.024889 0.238534 1.036224 0.074668 0.171277 0.432108
1.000000 0.184518 0.069579 0.111866 1.131800 2.263601 0.018467 0.214128 0.934831 0.055401 0.150130 0.355404
0.000000 0.073584 0.052031 0.053734 0.100101 0.200201 0.015252 0.040108 0.547145 0.045757 0.068352 0.668395
0.000000 0.077913 0.053219 0.056688 0.121395 0.242790 0.016419 0.043086 0.549856 0.049258 0.071032 0.692331
0.000000 0.073012 0.052041 0.053116 0.097120 0.194239 0.015122 0.040182 0.545812 0.045366 0.068249 0.664043
0.000000 0.078504 0.054088 0.057629 0.126787 0.253574 0.015673 0.045346 0.594793 0.047018 0.072764 0.643664
0.000000 0.081597 0.053735 0.060234 0.158311 0.316621 0.016913 0.048933 0.561041 0.050738 0.074353 0.681340
0.000000 0.080321 0.053585 0.059438 0.145504 0.291008 0.016373 0.046000 0.575855 0.049119 0.072979 0.670598
0.000000 0.080868 0.053864 0.059983 0.148471 0.296942 0.016313 0.047974 0.583886 0.048939 0.074050 0.658327
0.000000 0.074326 0.051248 0.055532 0.114058 0.228115 0.015759 0.040742 0.531386 0.047278 0.068351 0.691136
0.000000 0.076640 0.054248 0.060774 0.137376 0.274752 0.016795 0.044485 0.590918 0.050384 0.073209 0.686491
0.000000 0.093449 0.057589 0.072107 0.283820 0.567640 0.017764 0.064832 0.673184 0.053292 0.085603 0.622086
0.000000 0.088404 0.056954 0.068987 0.214903 0.429806 0.018504 0.055088 0.632283 0.055512 0.080903 0.684852
0.000000 0.079065 0.054522 0.062687 0.132946 0.265891 0.017020 0.045532 0.603955 0.051060 0.074216 0.686294
0.000000 0.081110 0.055292 0.066803 0.117914 0.235828 0.017675 0.046247 0.632974 0.053026 0.075911 0.697478
0.000000 0.081192 0.055002 0.063154 0.107130 0.214261 0.016947 0.042977 0.627286 0.050840 0.073728 0.689536
0.000000 0.078243 0.053484 0.061323 0.141487 0.282975 0.015835 0.043724 0.614107 0.047506 0.072414 0.654898
0.000000 0.078512 0.054325 0.061588 0.105460 0.210920 0.016381 0.041343 0.622158 0.049144 0.072263 0.679527
2.000000 0.132558 0.065694 0.085844 0.395208 0.790417 0.019804 0.105716 0.804322 0.059412 0.109288 0.541846
2.000000 0.130946 0.067039 0.088892 0.409082 0.818163 0.020974 0.103919 0.817046 0.062921 0.110202 0.571120
0.000000 0.058463 0.044086 0.039400 0.010866 0.021732 0.013414 0.020643 0.387134 0.040242 0.051441 0.717772
0.000000 0.071629 0.052876 0.053538 0.136273 0.272546 0.013611 0.035356 0.625177 0.040833 0.067003 0.596632
0.000000 0.078185 0.052900 0.059965 0.161351 0.322702 0.015824 0.041506 0.594751 0.047472 0.070800 0.669243
0.000000 0.074617 0.051788 0.054423 0.145686 0.291373 0.015149 0.037825 0.554945 0.045446 0.067376 0.665350
4.000000 0.630026 0.255149 0.504017 2.947176 5.894353 0.041187 1.610198 2.940671 0.123562 0.501851 0.244418
4.000000 0.653297 0.285677 0.547636 2.736665 5.473329 0.048118 1.619176 3.064750 0.144354 0.526460 0.273409
4.000000 0.664781 0.285787 0.575659 2.962555 5.925109 0.044793 1.774405 3.242283 0.134378 0.533440 0.250446
4.000000 0.624370 0.275680 0.467215 2.481071 4.962141 0.046177 1.452979 2.858468 0.138532 0.496858 0.277243
4.000000 0.643433 0.284081 0.478987 2.498565 4.997131 0.044726 1.555710 3.037592 0.134179 0.506343 0.264675
4.000000 0.659733 0.280161 0.547257 2.844974 5.689949 0.043809 1.745281 3.196212 0.131427 0.528070 0.248074
0.000000 0.075924 0.054973 0.063729 0.141203 0.282407 0.017441 0.046976 0.604190 0.052323 0.075337 0.690423
0.000000 0.077936 0.054371 0.063820 0.151141 0.302281 0.017022 0.050044 0.598538 0.051066 0.076022 0.663437
0.000000 0.083550 0.055439 0.065542 0.180459 0.360918 0.016951 0.056001 0.623091 0.050853 0.079445 0.633236
0.000000 0.077999 0.054350 0.064808 0.136723 0.273445 0.017175 0.047952 0.608375 0.051526 0.075425 0.680427
0.000000 0.077656 0.052340 0.063017 0.130248 0.260495 0.016600 0.046799 0.575246 0.049799 0.073022 0.663978
0.000000 0.082423 0.055712 0.066722 0.177915 0.355830 0.017718 0.055534 0.615026 0.053155 0.079728 0.664660
0.000000 0.075090 0.053401 0.061901 0.114602 0.229203 0.016797 0.044351 0.585931 0.050391 0.072740 0.683436
3.000000 0.490246 0.237437 0.358464 1.833204 3.666408 0.062914 0.769295 2.055967 0.188742 0.409564 0.448879
2.000000 0.243067 0.109963 0.173683 1.002336 2.004673 0.038628 0.288195 1.220734 0.115885 0.213628 0.543452
2.000000 0.240144 0.104268 0.164839 1.027402 2.054805 0.034415 0.289393 1.226563 0.103246 0.208031 0.493313
4.000000 0.601070 0.241046 0.508576 2.500080 5.000161 0.049360 1.367739 3.055112 0.148081 0.496612 0.298036
2.000000 0.378812 0.159758 0.290939 1.448387 2.896773 0.035647 0.725346 1.920448 0.106941 0.308777 0.386074
2.000000 0.238828 0.097811 0.181867 1.125680 2.251361 0.027248 0.367069 1.268047 0.081745 0.209879 0.420745
3.000000 0.403479 0.179236 0.232846 1.425817 2.851633 0.043164 0.588381 1.748352 0.129491 0.320139 0.393638
0.000000 0.102387 0.058537 0.065020 0.300123 0.600246 0.015727 0.083289 0.640045 0.047181 0.088854 0.520383
2.000000 0.325676 0.149064 0.205134 1.210001 2.420002 0.038979 0.461756 1.426831 0.116937 0.268060 0.432344
4.000000 0.637335 0.257425 0.497440 2.970694 5.941387 0.040055 1.640146 2.987705 0.120165 0.503271 0.238578
4.000000 0.641743 0.252258 0.479783 3.068952 6.137904 0.037192 1.682601 3.030343 0.111577 0.499204 0.223394
4.000000 0.638894 0.249259 0.469397 3.019043 6.038086 0.037048 1.658306 3.003714 0.111145 0.495958 0.224056
4.000000 0.612948 0.262426 0.452890 2.540555 5.081109 0.044824 1.409081 2.725540 0.134471 0.486237 0.275579
4.000000 0.656612 0.285749 0.535803 2.766311 5.532623 0.046782 1.641486 3.066248 0.140346 0.525464 0.266776
4.000000 0.658156 0.274659 0.568484 2.883305 5.766609 0.045904 1.718779 3.149909 0.137711 0.533843 0.256943
3.000000 0.585693 0.254551 0.434801 2.384087 4.768175 0.043389 1.349196 2.610992 0.130167 0.465024 0.280493
4.000000 0.667511 0.296649 0.534794 2.643929 5.287858 0.046456 1.700869 3.181496 0.139369 0.530713 0.262775
4.000000 0.685800 0.297221 0.575668 2.898122 5.796245 0.044956 1.858180 3.364506 0.134868 0.546490 0.246291
4.000000 0.648788 0.295152 0.487477 2.413739 4.827477 0.048431 1.521505 2.981370 0.145292 0.514684 0.282690
4.000000 0.628770 0.271770 0.469488 2.580386 5.160772 0.043631 1.521610 2.874411 0.130893 0.496542 0.263449
4.000000 0.674281 0.305291 0.576436 2.717507 5.435013 0.050222 1.696977 3.161288 0.150665 0.543997 0.276258
4.000000 0.644465 0.279250 0.501467 2.659301 5.318602 0.046024 1.557385 2.967151 0.138071 0.512007 0.268882
4.000000 0.655274 0.280409 0.559154 2.919691 5.839383 0.045662 1.681251 3.060762 0.136987 0.525942 0.259515
4.000000 0.622958 0.237374 0.483892 3.074773 6.149546 0.038541 1.585890 2.806229 0.115624 0.491980 0.234780
4.000000 0.649850 0.270027 0.536866 2.968179 5.936359 0.044372 1.648387 2.955286 0.133117 0.519553 0.255728
4.000000 0.667339 0.264835 0.585258 3.217326 6.434652 0.041693 1.848286 3.306529 0.125078 0.537629 0.232318
4.000000 0.648197 0.255911 0.551234 3.130768 6.261536 0.041571 1.727181 3.142490 0.124713 0.522664 0.238418
4.000000 0.650127 0.243794 0.529795 3.250460 6.500919 0.037014 1.801220 3.261175 0.111043 0.515995 0.214712
4.000000 0.655248 0.294543 0.567386 2.735280 5.470560 0.049945 1.615835 3.101810 0.149835 0.532086 0.280751
3.000000 0.670534 0.307674 0.572395 2.687089 5.374178 0.051797 1.632371 3.143948 0.155390 0.541891 0.286295
4.000000 0.665207 0.300782 0.592417 2.787705 5.575410 0.050208 1.680349 3.179556 0.150625 0.539611 0.278885
4.000000 0.693531 0.293233 0.622283 3.224110 6.448221 0.042938 1.981322 3.531810 0.128813 0.554715 0.231850
4.000000 0.656845 0.282376 0.532447 2.940263 5.880526 0.042654 1.705704 3.105585 0.127961 0.518752 0.245404
4.000000 0.651949 0.264173 0.515162 3.066271 6.132542 0.039845 1.719326 3.129556 0.119535 0.513981 0.231748
4.000000 0.700202 0.285980 0.660100 3.418326 6.836653 0.041906 2.089108 3.633201 0.125718 0.564192 0.222351
4.000000 0.599835 0.211776 0.470110 3.358750 6.717500 0.034363 1.597329 2.845696 0.103090 0.480746 0.214067
4.000000 0.658051 0.266663 0.554717 3.147170 6.294340 0.041175 1.783591 3.158841 0.123525 0.525916 0.234515
3.000000 0.664776 0.263272 0.579307 3.238070 6.476139 0.041071 1.840892 3.279556 0.123212 0.534014 0.230934
4.000000 0.634792 0.286997 0.378095 2.375503 4.751006 0.040036 1.400655 2.815955 0.120109 0.467708 0.256959
